,date,url
91,2012/01/26,https://winthroptranscript.com/2012/01/26/police-blotter/
92,2012/02/02,https://winthroptranscript.com/2012/02/02/police-blotter/
93,2012/02/09,https://winthroptranscript.com/2012/02/09/police-blotter/
94,2012/02/16,https://winthroptranscript.com/2012/02/16/police-blotter/
95,2012/02/23,https://winthroptranscript.com/2012/02/23/police-blotter/
96,2012/03/01,https://winthroptranscript.com/2012/03/01/police-blotter/
97,2012/03/08,https://winthroptranscript.com/2012/03/08/police-blotter/
98,2012/03/16,https://winthroptranscript.com/2012/03/16/police-blotter/
99,2012/03/23,https://winthroptranscript.com/2012/03/23/police-blotter/
100,2012/03/30,https://winthroptranscript.com/2012/03/30/police-blotter/
101,2012/04/05,https://winthroptranscript.com/2012/04/05/police-blotter/
102,2012/04/12,https://winthroptranscript.com/2012/04/12/police-blotter/
103,2012/04/20,https://winthroptranscript.com/2012/04/20/police-blotter/
104,2012/04/26,https://winthroptranscript.com/2012/04/26/police-blotter/
105,2012/05/03,https://winthroptranscript.com/2012/05/03/police-blotter/
106,2012/05/17,https://winthroptranscript.com/2012/05/17/police-blotter/
107,2012/05/24,https://winthroptranscript.com/2012/05/24/police-blotter/
108,2012/05/31,https://winthroptranscript.com/2012/05/31/police-blotter/
109,2012/06/07,https://winthroptranscript.com/2012/06/07/police-blotter/
110,2012/06/22,https://winthroptranscript.com/2012/06/22/police-blotter/
111,2012/06/29,https://winthroptranscript.com/2012/06/29/police-blotter/
112,2012/07/04,https://winthroptranscript.com/2012/07/04/police-blotter/
113,2012/07/16,https://winthroptranscript.com/2012/07/16/police-blotter/
114,2012/07/19,https://winthroptranscript.com/2012/07/19/police-blotter/
115,2012/07/27,https://winthroptranscript.com/2012/07/27/police-blotter/
116,2012/08/02,https://winthroptranscript.com/2012/08/02/police-blotter/
117,2012/08/24,https://winthroptranscript.com/2012/08/24/police-blotter/
118,2012/08/30,https://winthroptranscript.com/2012/08/30/police-blotter/
119,2012/09/06,https://winthroptranscript.com/2012/09/06/police-blotter/
120,2012/09/13,https://winthroptranscript.com/2012/09/13/police-blotter/
121,2012/09/20,https://winthroptranscript.com/2012/09/20/police-blotter/
122,2012/09/27,https://winthroptranscript.com/2012/09/27/police-blotter/
123,2012/10/04,https://winthroptranscript.com/2012/10/04/police-blotter/
124,2012/10/11,https://winthroptranscript.com/2012/10/11/police-blotter/
125,2012/10/18,https://winthroptranscript.com/2012/10/18/police-blotter/
126,2012/10/25,https://winthroptranscript.com/2012/10/25/police-blotter/
127,2012/11/01,https://winthroptranscript.com/2012/11/01/police-blotter/
128,2012/11/08,https://winthroptranscript.com/2012/11/08/police-blotter/
129,2012/11/15,https://winthroptranscript.com/2012/11/15/police-blotter/
130,2012/11/21,https://winthroptranscript.com/2012/11/21/police-blotter/
131,2012/11/30,https://winthroptranscript.com/2012/11/30/police-blotter/
132,2012/12/06,https://winthroptranscript.com/2012/12/06/police-blotter/
133,2012/12/13,https://winthroptranscript.com/2012/12/13/police-blotter/
134,2012/12/20,https://winthroptranscript.com/2012/12/20/police-blotter/
135,2012/12/27,https://winthroptranscript.com/2012/12/27/police-blotter/
136,2013/01/04,https://winthroptranscript.com/2013/01/04/police-blotter/
137,2013/01/10,https://winthroptranscript.com/2013/01/10/police-blotter/
138,2013/01/17,https://winthroptranscript.com/2013/01/17/police-blotter/
139,2013/01/24,https://winthroptranscript.com/2013/01/24/police-blotter/
140,2013/01/31,https://winthroptranscript.com/2013/01/31/police-blotter/
141,2013/02/07,https://winthroptranscript.com/2013/02/07/police-blotter/
142,2013/02/16,https://winthroptranscript.com/2013/02/16/police-blotter/
143,2013/02/21,https://winthroptranscript.com/2013/02/21/police-blotter/
